wiI7pd,d4r55,rsqaWe,bulan_tahun
Tempat yang nyaman untuk bagi yang suka destinasi wisata embung dan menyukai pemandangan serta estetika alam,Ferdiansyah Muhammad,3 tahun lalu,February 2022
tenang dan nyaman,Mahendra Bima channel,3 tahun lalu,February 2022
"Wisata keluarga murah meriah🥰🥰🥰...cukup bayar parkir weekday..untuk weekend tiket masuk 5-10rb/org
Tempat parkir luas...akses mudah …",Cherry Cela,3 tahun lalu,February 2022
"Debest wisata air yg ga bakalan nguras kantong, dengan pemandangan yg iconic banget buat jepret sana sini 😍 …",erlia meilani,3 tahun lalu,February 2022
Recommended waktu pagi hari,Santri Modern Channel,3 tahun lalu,February 2022
Airnya segar banget... tempat refreshing yang murah meriah,Risna Widowati,3 tahun lalu,February 2022
Seger,Halim Muhammad,3 tahun lalu,February 2022
Sangat indah sekali,Markiono Umar,3 tahun lalu,February 2022
Lokasinya masih asri... airnya nyegerin bgt...,Aanino Widianto,3 tahun lalu,February 2022
👍👍👍👍👍 …,farida rosalina,3 tahun lalu,February 2022
"Pemandangan ijo2, minggu rame pol ga jadi renang.",Vernandez,3 tahun lalu,February 2022
"Tempat nya bagus, cuman sayang nya Tempat untuk nongkrong habis renang sambil ngopi. Itu aja yang kurang",Dymas Febrianto,3 tahun lalu,February 2022
Bagus,Dharmawan Dharmawan,3 tahun lalu,February 2022
Sumber paling recommended. Benar-benar asyik buat renang.,Prasetio Utomo,3 tahun lalu,February 2022
Lumyan,Hari Cahyadi,3 tahun lalu,February 2022
"Tempatnya bagus cuman saran sumbernya diperluaskan lagi karena untuk pengunjung sebanyak itu tempat renangnya diperluas terdapat juga food court dengan harga murah, untuk tiket masuk dan parkir sepeda juga terjangkau tempat parkir juga luas rekomended untuk berkunjung kesini bersama keluarga",Dhio Putra,3 tahun lalu,February 2022
Enakk buat keluarga cuyyyy,Keane Rozik,3 tahun lalu,February 2022
Luar biasa...,Heru Prasetyo,3 tahun lalu,February 2022
"Minggu depan akan kesana,sepertinya bagus",Felix Alfaro Chandra,3 tahun lalu,February 2022
Cocok buat ngadem,Agues Mbetick,3 tahun lalu,February 2022
Tempat nongkrong nyaman bareng teman,Fiki Kris,3 tahun lalu,February 2022
Sangat alami dan eksotik,Muhammad Adib,3 tahun lalu,February 2022
Tempatnya asri. Cocok untuk melepas penat,Naminabayu AE,3 tahun lalu,February 2022
Perlu di kembangkan LBH baik LG....mohon perhatian pihak pemerintah terkait,Kayana Dafi,3 tahun lalu,February 2022
Masih segar airnya,Danang Satriyo,3 tahun lalu,February 2022
Tempatnya bagus alami banget,muhammad rofiq,3 tahun lalu,February 2022
"Saya ingin mengetahui cerita atau sejarah Sumber Sira, Siapakah yang harus saya temui untuk mendapatkan informasi tentang Sumber Sira?",Diana Herawati,3 tahun lalu,February 2022
Lumayan lah yakk 🤣🤣🤣 …,Rezty 1304,3 tahun lalu,February 2022
Sumber sira tmpate enak dan dingin,fadly keren,3 tahun lalu,February 2022
Selama pandemi ini enalnya siang kalo kesini karena masih sepi jadi lebih aman,Nur Mazidah,3 tahun lalu,February 2022
Recommended banget buat yang ingin merasakan alaminya sumber air sekaligus berenang sepuasnya..,Geniuz Official,3 tahun lalu,February 2022
Kolam berair bersih 👍👍👍 …,Tina Tjahjadi,3 tahun lalu,February 2022
Air segar murah.,Achmad Azizi,3 tahun lalu,February 2022
"Keren tempatnya asri dan masih alami tiket murahh puoll wes pokok e area malang kalo belum pernah kesini harus kesini pokok e , gak bikin kantong mu kering ,segerr",Berlian Yudha Sakti,3 tahun lalu,February 2022
Mantab untuk mancing di area sawah,dipekso rabi,3 tahun lalu,February 2022
"Bagus,makanannya ckp mcm2 harga pun murah,tiket msk jg murah meriah,airnya pun segar... pemandangan hijau indah...",Melanie Hidayat,3 tahun lalu,February 2022
Air jernih & seger,Adam Kurniawan,3 tahun lalu,February 2022
Sumber Sira di Sore hari,Munifatin Nisak,3 tahun lalu,February 2022
Airnya sangat jernih,Ida Fitria,3 tahun lalu,February 2022
Joss,MASYKUR ADVENTURE,3 tahun lalu,February 2022
Ok baik,Andanaru Saifulhuda,3 tahun lalu,February 2022
"Asli jernih airnya, asli sumber airnya. pemandangan bawah airnya juga mantap, ada rumput-rumputnya dan beberapa ikan yang bisa dilihat dengan mata biasa saking jernihnya. tidak terlalu dalam dan ada sewa ban juga untuk santai-santai diatas …",Golobok go,3 tahun lalu,February 2022
"Salah satu lokasi yang wajib dikunjungi ketika berwisata ke Malang adalah Sumber Sira yang terletak di Putukrejo Gondanglegi.
Sumber Sira merupakan sebuah kolam dengan air yang sangat jernih yang berasal …",Imam Malik,3 tahun lalu,February 2022
"Tempatnya bagus, mohon Harga tiketnya di 3000 saja.. jangan 5000 , dan kebersihan nya di tingkatkan",DZikrulloh zik,3 tahun lalu,February 2022
sip,Agus Salim,3 tahun lalu,February 2022
"Murah, jangan hari Minggu rame banget",Al Fahmi,3 tahun lalu,February 2022
"Murah, air bersih & segar",agoy januarizky,3 tahun lalu,February 2022
Untuk biaya sih termasuk murah meriah karna cuma 5k/org. Parkir speda 2k. Kolam/sumber juga bening. Sewa ban renang juga murah 6k aja. Rate makanan trmasuk murah. Tp pling banyak cuma mie instan atau pop mie. Klau bisa ada menu baru lagi. …,Ade irma Oktavia,3 tahun lalu,February 2022
"Rehat sejenak bersama keluarga, sudah ada parkir baru",Rendra Primaland,3 tahun lalu,February 2022
"Bagus banget, airnya jernih, bisa diving sambil lihat ikan2 didasarnya, banyak lumut ijo2 tapi justru itu icon wisata disini, view sawah seger banget mata memandang Maa Syaa Allaah. …",fatmawati_tm,3 tahun lalu,February 2022
Murah meriah...,LUKMAN HAKIM,3 tahun lalu,February 2022
Tempat teduh dan banyak pemandangan disekitar yang masih asri,purwo Handri,3 tahun lalu,February 2022
Mantap,Anik Sutami,3 tahun lalu,February 2022
"Sumber Sira  atau Sumber  Kepala Karena sumbernya  besar.  airnya jernih,  segar  dan  layak diminum langsung",ShafiyahOlivia Muthiah Manan,3 tahun lalu,February 2022
"Ini tempatnya bagus, kl masih pagi sejuk bgt, tp pas udh siang jg ga terlalu panas, kolamnya bersih dan ada ikan kecilnya. Di sebelah kolamnya ada irigasi dan enak bgt buat main main dstu pake ban",nur aliifah,3 tahun lalu,February 2022
"Sumber Sira yang berarti hulunya sumber di daerah Gondang Legi, sudah menjadi tempat wisata pemandian umum. Biasanya ramai pengunjung di Weekend. Tapi hari ini kami beruntung karena tidak terlalu ramai. Selain jernih airnya, salah satu yang …",Matt Journey,3 tahun lalu,February 2022
Seger,Ramah Hidayat,3 tahun lalu,February 2022
"Wisata murah meriah, dengan tiket masuk Rp 5000/orang. Aman untuk anak kecil. Sumber air dingin dan bening, di kelilingi persawahan.",Novie Ita,3 tahun lalu,February 2022
𝙏𝙞𝙠𝙚𝙩 𝙢𝙖𝙨𝙪𝙠 5000 𝙖𝙟𝙖𝙝..𝙨𝙪𝙢𝙗𝙚𝙧 𝙢𝙖𝙩𝙖 𝙖𝙞𝙧...𝙨𝙚𝙜𝙚𝙧👍 …,Hery Takahashi,3 tahun lalu,February 2022
Enak seger,sonny limala,3 tahun lalu,February 2022
"perjalanan pemulihan lengkap... ramah, murah, fasilitas lengkap.",setiyo budi,3 tahun lalu,February 2022
Tempat yg nyaman dan Asri...dngan biaya yg sangat murah....untuk bisa menikmati suasana Alam..,Bun Boens,3 tahun lalu,February 2022
Mata air yang luar biasa! Bawalah googles atau snorkeling Anda untuk menikmati indahnya air biru di bawahnya yang penuh kehidupan!,Richard Richard,3 tahun lalu,February 2022
Ada yang BAB bikin pemandangan fantastis.,Muchammad Husein,3 tahun lalu,February 2022
OK aja. Letaknya jauh dari jalan utama. Dengan tiket 5k/masing-masing dan 3k untuk parkir motor. Tidak lebih penjual. Kolam renang alami sederhana. Jarak antara sumber air dan permukaan sangat dalam.  pemandangannya masih belum lengkap dengan beberapa bunga.,Yosaicko Van Daixe (ICKO),3 tahun lalu,February 2022
"Begitu turun dari kendaraan, maka kolam yg berbentuk seperti danau akan terlihat. Dan Anda semua harus menuruni anak tangga yang lumayan banyak dan curam (tapi tidak semengerikan itu). Kolamnya hanya 1 seperti yg saya sebutkan tadi …",Hisuiro Haibara,3 tahun lalu,February 2022
Mantapp,Zumrotus Sholihah Fauzan,3 tahun lalu,February 2022
Tempatnya bersih dan tenang.... airnya jernih...,FX Adhiwijaya,3 tahun lalu,February 2022
Bagus tapi sudah tidak sebagus dulu,Khibar Syiar,3 tahun lalu,February 2022
"Tempatnya asri, sudah terkelola dengan baik, fasilitas sangat memadai",romi wafjudin,3 tahun lalu,February 2022
Joss,Alfian Aldi,3 tahun lalu,February 2022
alam adalah cara yang baik untuk melepaskan diri dari kesibukan,Arystianto Satriyo Putro,3 tahun lalu,February 2022
"Sejuk, dekat persawahan (bukan ladang), jalan menuju mata air sangat menurun tajam sekitar 50-100 meter, ketika ke sini lebih baik gunakan sepeda motor, sebab jalan menuju lokasi kecil (kerepotan saat 2 mobil papasan), parkir bayar 2 ribu, airnya jernih, ada wahana bermain untuk anak-anak, ada toilet, ada pos pusat informasi,",A Rifqi Amin,3 tahun lalu,February 2022
Cocok untuk bersantai,Kiky Z,3 tahun lalu,February 2022
Tempatx bagus tapi medanx cukup licin🙏🙏 …,toha albagas,3 tahun lalu,February 2022
Tempat nyaman buat rekreasi bareng bareng,Hermawan Sasono,3 tahun lalu,February 2022
Cukup murah dan bagus,Shofiyyah Ummu Alfatih,4 tahun lalu,February 2021
Airnya jernih dan seger. Tiket parkir dan masuk murah meriah bgt.makan dan jualan juga murah..cocok liburan buat segala usia,Nadya Rizky Nuzul Ramadhanti,4 tahun lalu,February 2021
Airnya suegeerrr..udh ada gasebo2..cm sayangx makanan diwarung2x krg variatif..,Rayvenando Wahyu,4 tahun lalu,February 2021
"Lumayan lahh, masuk 2 orang + 2 motor 14000
Cuman sampah di kolam sumber tolong dibersihin dong 😩 …",Firman BP,4 tahun lalu,February 2021
indah sekali dari dulu sampe sekarang,LNB. channel,4 tahun lalu,February 2021
"Sangat kerennn... Gk usah di golek i riview ne, pecoyo ae... Apik poll 😁 …",raja daud,4 tahun lalu,February 2021
Tempatnya asri alami dan airnya jernih,Sandy Gimbal,4 tahun lalu,February 2021
"Tempat wisata alam nyaman, murah, cocok jika membawa keluarga. Aman buat berenang.",Agung Wijaya,4 tahun lalu,February 2021
Tempat nya sejuk.  Asik untuk wisata  air bersama keluarga.  Gak begitu jauh dari kota malang.  Tempatnya bersih,Muliati Muliati,4 tahun lalu,February 2021
Itu benar,Javier,4 tahun lalu,February 2021
"Kesegaran alami
Gowes sehat ya ke sini👍👍 …",Agus Susanto,4 tahun lalu,February 2021
Sejuk dan teduh...🍃🍃 …,Evi Rolia,4 tahun lalu,February 2021
Tidak apa-apa,Muhammad Afif Maulana,4 tahun lalu,February 2021
"Tempatnya asri dan rindang , sangat pas untuk santai, cuma tempat parkir yg lumayan jauh di atas tidak terlalu cocok untuk orang yg sudah lanjut usia",Rosul Akbar,4 tahun lalu,February 2021
Tempat pemandian anak yg cukup teduh dan nyaman...  Masuk wilayah putukrejo gondanglegi malang sekitar 20km dari kota malang...  Murah meriah walau masih dlm proses pengembangan...,Teguh Purwanto,4 tahun lalu,February 2021
"Sumber Sira | 8 - 11 - 2020

Tempat wisata lokal yang masih dekat dengan kota Malang, sangat cocok jika …",Unero,4 tahun lalu,February 2021
Seru,Emi Lia,4 tahun lalu,February 2021
"Pemandian yg masih alami,lumayan buat nyantai sama keluarga..tarif karcis 500 0 perorang, parkir mobil 10000.",Moch Gufron,4 tahun lalu,February 2021
"Tempat ini sangat menyenangkan untuk refresing terutama bersama teman, sahabat, dan atau keluarga sekalipun",Tarsisius Fidelis Dandy,4 tahun lalu,February 2021
"Tempat masih alami, murah n bagus banget",Ahmad Wijaya,4 tahun lalu,February 2021
"Tempat yang cocok untuk rekreasi bersama keluarga/teman disaat liburan. Memiliki manajemen tempat yang cukup baik yakni area warung yang tertata dan higenis, harga masuk yang cukup wajar (5k) tetapi yang paling utama adalah area pemandian …",Ikhlas M Sabilly,4 tahun lalu,February 2021
Di tambah wahana misal flyingfox makin yahuuuut atau wahana seluncuran,Zainuril Ilmi,4 tahun lalu,February 2021
"Air nya jerni ,seger banget,,tapi tempat nya sedikit kurang nyaman",Lailatul Fadilla,4 tahun lalu,February 2021
Super,Putra Ababiel,4 tahun lalu,February 2021
Jalannya rusak mohon segera di renov,Official Yupi,4 tahun lalu,February 2021
"Bagus, airnya jernih dan biaya masuknya pun murah",Freza Azzahra,4 tahun lalu,February 2021
Bagus sih cuma masih kurang tertata apik... Semoga ke depannya lebih bagus...,Fathur Rahman,4 tahun lalu,February 2021
Berenang menyenangkan,ahmad amir Haqiqi,4 tahun lalu,February 2021
Alami airnya jernih n udaranya enak utk bernafas lega ...buruan cuzzzzzzz utk liburan yg murah meriah muntahhh🏃🏃🏃🏃💪💪💪💪🤗🤗🤗 …,Bambang Falyo,4 tahun lalu,February 2021
"alami, airnya jernih",heru supriyanto,4 tahun lalu,February 2021
"Tempat rekreasi yang nyaman dan murah meriah. Akses jalan menuju lokasi mudah ditemukan, banyak penanda yang menuntun Anda kesana. Bisa dilalui R4 dan R2, kondisi jalan aspal. …",agus fauzi r,4 tahun lalu,February 2021
"Seneng banget
tempatnya luas buat renang asik...
Airnya masih alami jadi pengen balik main sana...
Baju juga makanannya murah murah",Difa Adeliap,4 tahun lalu,February 2021
Masih banyak yg cuek dg kebersihan. Untuk pengelola tempat wisata Sumber Sira tolong lebih memperbanyak lagi tempat sampah/bisa dalam bentuk yg unik yg lebih memikat para pengunjung enggan buang sembarangan baik sampah organik/anOrganik. …,Aninda Diah Ayu,4 tahun lalu,February 2021
air jernih alami dari sumber mata air dingin yang segar,ali kpj,4 tahun lalu,February 2021
Mantap,Fatchul Ulum,4 tahun lalu,February 2021
Bagus tapi sayang kurang terpelihara,Murlin hariyanto,4 tahun lalu,February 2021
"Tanah Kavling Harga 20 jutaan Kawasan Wisata Malang

HOT PROMO …",Yovi Setyawan,4 tahun lalu,February 2021
Bagus cuma belum maksimal penataannya ...,Akone official Professional,4 tahun lalu,February 2021
Bersama siswa MTs Alazhar Brongkal,Zainal Qorik,4 tahun lalu,February 2021
Bagus,BERDESA 86,4 tahun lalu,February 2021
"Bagus, tapi sayang tanaman airnya udah gaada si kayaknya, htm nya juga cuma 12k untuk 2 orang dan 1 motor",Meidiantika Puspitasari,4 tahun lalu,February 2021
"Tamanx sdah bagus, hanya kolam pemandianx perlu d atur ulang",Muhammad Shalahuddin,4 tahun lalu,February 2021
"Tempatnya enak bersih, kamar mandi dan kamar gantinya bersih",aryan yulistiawan,4 tahun lalu,February 2021
Tempat yg asik maen air bareng teman2 atau keluarga...dengan pemandangan yg juga bagus di kelilingi sawah2..airnya juga jernih,sanoe dhie,4 tahun lalu,February 2021
Bagus,Rizqi Rokman,4 tahun lalu,February 2021
Sumber airmu segar sekali...bagus,0341 SAM,4 tahun lalu,February 2021
Bersih,Ilham Bbs,4 tahun lalu,February 2021
Suka selai gaess..,Mawar Hitam,4 tahun lalu,February 2021
Tempat yang bagus untuk bersantai bersama teman atau keluarga dengan tiket masuk yang terjangkau,Ahmad Saufi Maulana,4 tahun lalu,February 2021
👍 …,fajar Firmansyah,4 tahun lalu,February 2021
Dari tahun ke tahun Tempat makin baik. Tempat istirahat mulai banyak dan luas. Hanya saja area berenangnya belum banyak perubahan dan karna hari sabtu minggu biasanya rame banget jadi area berenangnya terlalu penuh. …,Ani Mufarikhah,4 tahun lalu,February 2021
Oke,Pesen Coffeee,4 tahun lalu,February 2021
Sejuk,Agil Maulana,4 tahun lalu,February 2021
tempatnya sangat menyegarkan,Naomi Grace,4 tahun lalu,February 2021
Lebih seringnya kesini cuman buat ngopi gak berenang tapi tetep harus bayar tiket..  Pernah liat ada pengunjung lain kehilangan helm disini tapi gak ada ganti rugi nya..  Soo..  Amankan barang kalian guys..  Meski ada tukang parkirnya gak jamin aman juga.. Happy hollyday..,Jiwa Abadi,4 tahun lalu,February 2021
Bagus,Dziky Arisandi,4 tahun lalu,February 2021
Suasana syahdu sekali... Air bersih dan dingiiiiiinn...,Ratnatri Windi,4 tahun lalu,February 2021
Air bagus dan pemandangan desa bagus,Rock Rabbit Custom,4 tahun lalu,February 2021
Jernih,Ahda Aslan,4 tahun lalu,February 2021
Seger jg buat renang sejuk,Louise Ngalam,4 tahun lalu,February 2021
"Air sumber alami,bersih belum tercemar bahan kimia...bersih",Ferry Cold,4 tahun lalu,February 2021
"tempat sejuk, asri, tiket masuk murah, tersedia musholla, dan kamar mandi yangbersih.",Zafir Imam,4 tahun lalu,February 2021
"Tempatnya kurang nyaman,airnya kotor banyak sampah plastik dan dedaunan,tempat ganti baju sempit",Kelas Bahasa,4 tahun lalu,February 2021
"Tempat yang sangat indah, tanaman airnya khas.",ahmad biyadi,4 tahun lalu,February 2021
👌👌👌👌👌 …,Angga Prasetya27,4 tahun lalu,February 2021
Tambahkanmm,Ronny,4 tahun lalu,February 2021
"Akses jalan dari jalan raya krebet gondanglegi, menuju lokasi wisata kurang lebih 2 km. Ada penunjuk jalan yang cukup membantu. Dijamin tidak akan tersesat. Dari area parkir kita akan menuruni jalan yang menurut saya cocok untuk kendaraan …",Didik Supriyanto,4 tahun lalu,February 2021
👍 …,5124 NingRum,4 tahun lalu,February 2021
Tempat yang indah untuk melihat pemandangan desa yang dikelilingi sawah dan juga terdapat sumber air yang bisa digunakan untuk berenang. Tempat yang bagus untuk rekreasi keluarga.,sisilia ika anggraeni,4 tahun lalu,February 2021
Segar,mohammad daud,4 tahun lalu,February 2021
"Nyaman untuk menghilangkan junuh dari rutinitas yang mengikat dan menyakitkan 🤣 .
Dengan harga yang relatif terjangkau, 5ripu untuk masuk setiap orang …",Dana Fauzana,4 tahun lalu,February 2021
"Jernih sekali air nya,",didik kurniawan,4 tahun lalu,February 2021
Masih banyak kekurangan ya mengingat mmg masih tahap pengembangan..,Aqeela Suci,4 tahun lalu,February 2021
"tempatnya sebenernya bagus sih buat ke lokasi juga sudah lebih mudah, but the thing is gaperlu lah sampe ada tulisan segede itu di tengah sumber, biarin tetep alami ajaa",Achmad Fajar M,4 tahun lalu,February 2021
seger,Hend Dro,4 tahun lalu,February 2021
Cukup bagus...sarana mainan ada..... cocok untuk rekreasi keluarga... cuma perlu perawatan....😊 …,Sugeng Hariadi,4 tahun lalu,February 2021
Wisata murah meriah & alam nya yg alami,Arif Jauhari Jauhari,4 tahun lalu,February 2021
mata airnya jernih dan bagus,Dwi Setyo Cahyono,4 tahun lalu,February 2021
"Tempatnya Sejuk, Hening Dan Alami Membuat Anak"" Senang, Banyak Mainanya Dan Banyak Warung"" Tertata Dengan Rapi, Disamping itu juga Penjualnya Ramah Dan Bersaudara. …",Syil4zahra,4 tahun lalu,February 2021
Bagus..,aremania gidoen,4 tahun lalu,February 2021
Tempat nya Bagus Cocok Untuk Relaxing Diri.Air nya Sangat Jernih Segar dan Mantap.Cocok Untuk Yang Hobi Petualangan Bisa Mampir Kesini Berendam Mantap.Tiket Masuk Murah Cuma 5000 Parkir 2000.,Rahmadani Aldiansyah G,4 tahun lalu,February 2021
"buat yg suka berenang tapi gasuka kolam berkaporit, mendingan berenang di sumber sirah sini, udah paling cocok ini kalo buat yg suka air",Antoni Rizal,4 tahun lalu,February 2021
Anak anak senang sampai ngak mau pulang,ahmat Damanhuri,4 tahun lalu,February 2021
Airnya sangat segar,Luthfi,4 tahun lalu,February 2021
Sumber sira airnya sangat jernih di pagi hari. .. byurrrr. .. hemmmnnn segereeeee,MUHAMMAD YASIN ALHASANI,4 tahun lalu,February 2021
Sangat bagus,Flamboyan Chanel,4 tahun lalu,February 2021
Bagus sihh,Abdul “PesonaBojo” Rozzaq,4 tahun lalu,February 2021
Mantabh tempat nya 😃😻👌 …,Teguh Julian Ananto,4 tahun lalu,February 2021
"Akses jalan bagus, sempat bingung ada dua nama sumber sira dan sumber bureng ternyata dua nama untuk tempat yg sama, disarankan pakai kacamata renang karena pemandangan didalam air bagus banyak ikan-ikan kecil, airnya jernih dan ada tumbuhan hijau yg menambah keindahan dan daya tarik tempat ini",Fika Krist,4 tahun lalu,February 2021
Bersih,Afifa Indar,4 tahun lalu,February 2021
Kereeen.....seperti namanya airnya jernih putih kebiruan,Dewi Shinta,4 tahun lalu,February 2021
Mantap,Romdloni Maulana,4 tahun lalu,February 2021
"Ini tempatnya bagus, cocok untuk wisatawan yang membutuhkan relaksasi singkat dengan biaya murah",Habibur Rahman,4 tahun lalu,February 2021
Mantab ilakes,Bustomi Alviansyah,4 tahun lalu,February 2021
"Bagus, tapi cuma bisa buat renang aja, gakbisa buat arung jeram seperti sumber maron...
Tapi tenang, ada taman yg cantik yg masih bisa menutupi kekurangan tsb.",Maulana Reza Pahlevi,4 tahun lalu,February 2021
Fasilitas sudah lebih lengkap,Fanisa Anindita,4 tahun lalu,February 2021
untuk menuai,phehonk indonesia,4 tahun lalu,February 2021
Tempat wisata yang sangat murah dan menyenangkan.,Aditya F,4 tahun lalu,February 2021
Suegere rek...,AGUNG GOKIL CHANNEL,4 tahun lalu,February 2021
"Airnya segar dari sumber alam, enak buat berenang, tubing dengan ban yang seru. Biaya masuk dan parkir murah meriah dan merakyat banget. Under 10 ribu lah. Banyak penjual makanan dan persewaan ban yg juga murah meriah. Tapi sensasi petualangannya gak kalah sama yg bayar mahal2",Adhim Irawan,4 tahun lalu,February 2021
Seger banget airnya. Jangan lupa bawa kacamata renang agar bisa merasakan sensasi berenang di alam yang indah. Bawah airnya MasyaAllah. Berenang bareng ikan-ikan. Tiket masuknya hanya 5k looh.,Amelia D'Marthasari,4 tahun lalu,February 2021
Airnya seger udaranya sejuk,Ari SHoleh,4 tahun lalu,February 2021
Sumber ini punya dua sebutan: Sumber Sira (menurut warga Putukrejo) dan Sumber Bureng (menurut warga Sumberjaya). Ada dua jalur terpisah untuk ke lokasi. …,Agung Raka Wijaya,4 tahun lalu,February 2021
Msh banyak yg perlu dibenahi dan ditambah lg unt spot² foto yg indah supaya mempunyai daya tarik. Tiket masuk sangat terjangkau.,Tikno Koentoro,4 tahun lalu,February 2021
Airnya jernihh,daniya maula,4 tahun lalu,February 2021
"Sejuk, hening dan cocok untuk berenang dan foto dibawah air. sekarang aksesnya sudah dipermudah, jadi gak perlu lewat kuburan lagi kalo kesini..., mantaap",Ragil Dito,4 tahun lalu,February 2021
Bagus sih cuman gak seperti yang dibayangkan di gambar google 😂😂😂 …,Sandy Firmansyah,4 tahun lalu,February 2021
"Mata air alami jernih, enak buat renang",Syahdewa Purnama,4 tahun lalu,February 2021
"Airnya lumayan bersih, tapi tanaman airnya sudah banyak yang hilang/rusak, airnya juga sedang surut, sehingga mungkin banyak tanaman yang tertendang atau terinjak sehingga tinggal sedikit saja di area belakang tulisan. Semoga pengunjung …",Widha Irvania,4 tahun lalu,February 2021
"Tempat nyaman, orang2 ramah",Fidy Widjaya,4 tahun lalu,February 2021
Keren,Hendri Purnawan,4 tahun lalu,February 2021
"Tempat wisata sumber air yang bersih,suwejukk,suwegerrr, wuapikk poll",muhammad setyo,4 tahun lalu,February 2021
Tempat untuk berenang dari sumber alami👍👍 pokok e recommended wes😂 …,misbahrudin faqih,4 tahun lalu,February 2021
tempatnya sejuk banget...,lvio putra,4 tahun lalu,February 2021
Suejuk.. Terus tambah fasilitas biar tambah mantab...,naura naunau,4 tahun lalu,February 2021
"air nya bening dan hawa nya sejuk, cuma tempat duduknya tolong di perbanyak lagi, trims",manrolen len,4 tahun lalu,February 2021
airnya bening banget langsung dr mata air bawa pohon.....,Nur Kholik,4 tahun lalu,February 2021
Tempatnya adem sejuk bebas polusi. ... Cocok buat liburan bareng kluarga. Tiket murah airnya 100.%bening..mantapppp,Wadi Rx,4 tahun lalu,February 2021
Kebersihan perlu ditingkatkan,didik yuliat,4 tahun lalu,February 2021
Karena tempat yang sangat menyenangkan waktu saya kecil dulu,Candra Mustika Tri Febriyanto,4 tahun lalu,February 2021
"Tempat rekreasi murah dan juga asri..
Makanan dan minuman juga murah banget..
Recomanded lah buat yg suka wisata alam..",Jasmine el Zahra,4 tahun lalu,February 2021
Keren tempatnya...,priyanto octa,4 tahun lalu,February 2021
Taman air nya g di rawat,Iwan Putra,4 tahun lalu,February 2021
itu tempat yang sangat alami,Mulya Yogi,4 tahun lalu,February 2021
"Airnya lumayan jernih, tapi perlu hati"" karena bagian tengah sumber kedalamnya cukup tinggi. …",Andari Rahma,4 tahun lalu,February 2021
Terdapat air yang jernih bagi habitat ikan dan untuk orang berenang,Yoo,4 tahun lalu,February 2021
Bagus senang,Sugiyono,4 tahun lalu,February 2021
"Seger, airnya jernih banget, adem pula tempatnya. Bikin betah lama lama disini",Rendi Andhika (Mas rendi),4 tahun lalu,February 2021
Kolam air yang jernih dengan pemandangan tumbuhan air dibawahnya.,Eva Dwi Rianti,4 tahun lalu,February 2021
airnya sangat bersih,Fahmi Arif,4 tahun lalu,February 2021
Air nya bening dan segarrrr 🤩🤩 …,Om Ilham,4 tahun lalu,February 2021
"Tempat wisata sumber sira ini recom banget buat tempat wisata keluarga. Dengan tiket masuk yang sangat murah, banyak angle untuk foto"" dan tempatnya teduh. Kebersihan nya pun terjaga dengan sangat baik.",Rois Ilmi akbar,4 tahun lalu,February 2021
"Sejuk, alami dan mulai lengkap fasilitasnya",ahmad burhanudin,4 tahun lalu,February 2021
"Asri banget, airnya jernih dgn debit sumber mata air yg besar",Heru Cahyono,4 tahun lalu,February 2021
Tempat wisata alami hanya akses saja masih apa adanya,RIRIS WAHYU INDARYANTO,4 tahun lalu,February 2021
"Tempat wisata murah meriah di Kabupaten Malang, Airnya sangat jernih, semoga terjaga dan terawat dengan baik.",Lutfi Arifin,4 tahun lalu,February 2021
"Masih asri aja ,enak tempatnya adem banget❤",Megadewikurniasary,4 tahun lalu,February 2021
"Banyak perkembangan dari tempat pemandian ini 👍 tapi sayang nya rumput² hijau yg ada di dasar sumber sudah mulai hilang, pdahal dulu bagus buat foto di underwater …",Elly Hardiana,4 tahun lalu,February 2021
Semoga membantu,Ibnu Alam,4 tahun lalu,February 2021
Bagus. Dan dingin,Abdul Hamid,4 tahun lalu,February 2021
Biasa aja...,Yan Mahyudin,4 tahun lalu,February 2021
sumber alami..yg..penting..d..lestarikan..d.jaga..nikmati...buat smua warga...,cecep ckl,4 tahun lalu,February 2021
Pemandangan luar biasa,Adji Widyanto,4 tahun lalu,February 2021
Bagus pemandangannya dan airnya jernih,Arief Rusdianto,4 tahun lalu,February 2021
Udaranya sejuk airnya jernih dan dingin.. Kantin makanannya juga enak,Ahmad Romadhon_117,4 tahun lalu,February 2021
pemandangan terbaik,GAWEO DEWE,4 tahun lalu,February 2021
Alam yg bersih,Rigen Pramudita Leksana,4 tahun lalu,February 2021
Masih sederhana,Agung Kurniawan,4 tahun lalu,February 2021
air jernih,Nita Ludfisulivan2011,4 tahun lalu,February 2021
enak tempat untuk bersantai,ACENK LOORRR,4 tahun lalu,February 2021
Keren buat mandi sore.,Maulana Firman M,4 tahun lalu,February 2021
airnya jernih dan segarrrr..,Annisa NJ,4 tahun lalu,February 2021
Bagus.. wisata murah meriah,Chandra Refianto,4 tahun lalu,February 2021
indah mempesona,Nur Jalal,4 tahun lalu,February 2021
Airnya sangat segar dan buat mancing juga mantap,Juni Riyono,4 tahun lalu,February 2021
Nyaman banget buat berenang,Igo Fajar Fandianto,4 tahun lalu,February 2021
Sumber airnya walau kemarau tetap banyak. Tempatnya teduh dan agak curam kalau membawa sepeda angin bisa masuk sampai pinggir pemandian.,GTO TV,4 tahun lalu,February 2021
