wiI7pd,ulasan_clean,ulasan_normalisasi,ulasan_tokenizing,ulasan_stopwords,ulasan_stemming,ulasan_translate
"recommended banget buat liburan bareng keluarga, tempatnya masih alami, airnya jernih dan udaranya juga segar sekali
buruan deh kesini dijamin gak nyesel, tiketnya juga murah bgt 5k per orang, wahana juga ada banyak kayak kereta sawah, perahu bebek, flying fox dan wahana anak juga ada loh😉 …",recommended banget buat liburan bareng keluarga tempatnya masih alami airnya jernih dan udaranya juga segar sekali buruan deh kesini dijamin gak nyesel tiketnya juga murah bgt per orang wahana juga ada banyak kayak kereta sawah perahu bebek flying fox dan wahana anak juga ada loh,recommended sangat untuk liburan bareng keluarga tempatnya masih alami airnya jernih dan udaranya juga segar sekali cepat kesini dijamin tidak menyesal tiketnya juga murah sangat orang wahana juga ada banyak seperti kereta sawah perahu bebek flying fox dan wahana anak juga ada,"['recommended', 'sangat', 'untuk', 'liburan', 'bareng', 'keluarga', 'tempatnya', 'masih', 'alami', 'airnya', 'jernih', 'dan', 'udaranya', 'juga', 'segar', 'sekali', 'cepat', 'kesini', 'dijamin', 'tidak', 'menyesal', 'tiketnya', 'juga', 'murah', 'sangat', 'orang', 'wahana', 'juga', 'ada', 'banyak', 'seperti', 'kereta', 'sawah', 'perahu', 'bebek', 'flying', 'fox', 'dan', 'wahana', 'anak', 'juga', 'ada']","['recommended', 'liburan', 'bareng', 'keluarga', 'tempatnya', 'alami', 'airnya', 'jernih', 'udaranya', 'segar', 'cepat', 'kesini', 'dijamin', 'menyesal', 'tiketnya', 'murah', 'orang', 'wahana', 'kereta', 'sawah', 'perahu', 'bebek', 'flying', 'fox', 'wahana', 'anak']",recommended libur bareng keluarga tempat alami air jernih udara segar cepat kesini jamin sesal tiket murah orang wahana kereta sawah perahu bebek flying fox wahana anak,"Very recommended for a vacation with the family where the water is still clear and the air is also very fresh here, here is guaranteed not to regret the ticket is also very cheap, there are also many rides such as the Flying Fox Duck Boat and Children's Wahana Sawah Train."
"tempat wisata yg murah, airnya segar, banyak wahananya 👍 …",tempat wisata yg murah airnya segar banyak wahananya,tempat wisata yang murah airnya segar banyak wahananya,"['tempat', 'wisata', 'yang', 'murah', 'airnya', 'segar', 'banyak', 'wahananya']","['wisata', 'murah', 'airnya', 'segar', 'wahananya']",wisata murah air segar wahana,cheap tourist attractions that have a lot of fresh water
Sumber sira yg sangat alami dan segar 😍 intinya pengen tiap sore mandi disini deh hehe …,sumber sira yg sangat alami dan segar intinya pengen tiap sore mandi disini deh hehe,sumber sira yang sangat alami dan segar intinya ingin tiap sore mandi disini,"['sumber', 'sira', 'yang', 'sangat', 'alami', 'dan', 'segar', 'intinya', 'ingin', 'tiap', 'sore', 'mandi', 'disini']","['sumber', 'sira', 'alami', 'segar', 'intinya', 'sore', 'mandi']",sumber sira alami segar inti sore mandi,"The source of SIRA is very natural and fresh, basically want to take a shower every afternoon"
Murah & Indah,murah indah,murah indah,"['murah', 'indah']","['murah', 'indah']",murah indah,Beautiful cheap
"kamar mandinya tolong di bersihkan, jijik anjir... banyak Bekas kencing di tembok sama lantainya ... bau pesing juga",kamar mandinya tolong di bersihkan jijik anjir banyak bekas kencing di tembok sama lantainya bau pesing juga,kamar mandinya tolong bersihkan jijik anjir banyak bekas kencing tembok sama lantainya bau pesing juga,"['kamar', 'mandinya', 'tolong', 'bersihkan', 'jijik', 'anjir', 'banyak', 'bekas', 'kencing', 'tembok', 'sama', 'lantainya', 'bau', 'pesing', 'juga']","['kamar', 'mandinya', 'tolong', 'bersihkan', 'jijik', 'anjir', 'bekas', 'kencing', 'tembok', 'lantainya', 'bau', 'pesing']",kamar mandi tolong sih jijik anjir bekas kencing tembok lantai bau pesing,"The bathroom, please clean the disgust of many scars of urine the walls and the floor smells too"
"Seru
Cocok buat rekreasi keluarga
Lengkap harga terjangkau",seru cocok buat rekreasi keluarga lengkap harga terjangkau,seru cocok untuk rekreasi keluarga lengkap harga terjangkau,"['seru', 'cocok', 'untuk', 'rekreasi', 'keluarga', 'lengkap', 'harga', 'terjangkau']","['seru', 'cocok', 'rekreasi', 'keluarga', 'lengkap', 'harga', 'terjangkau']",seru cocok rekreasi keluarga lengkap harga jangkau,exciting suitable for family recreation complete affordable prices
Banyak oknum (-),banyak oknum,banyak oknum,"['banyak', 'oknum']",['oknum'],oknum,lots of persons
"Hari ini..Minggu 13 Oktober 2024..Saya sekeluarga bermain di sumber Sira Putuk rejo
Ada kolam renang anak, kolam renang dewasa,sumber wadon,kereta …",hari iniminggu oktober saya sekeluarga bermain di sumber sira putuk rejo ada kolam renang anak kolam renang dewasasumber wadonkereta,hari ini minggu oktober saya sekeluarga bermain sumber sira putuk rejo ada kolam renang anak kolam renang dewasa sumber wadon kereta,"['hari', 'ini', 'minggu', 'oktober', 'saya', 'sekeluarga', 'bermain', 'sumber', 'sira', 'putuk', 'rejo', 'ada', 'kolam', 'renang', 'anak', 'kolam', 'renang', 'dewasa', 'sumber', 'wadon', 'kereta']","['minggu', 'oktober', 'sekeluarga', 'bermain', 'sumber', 'sira', 'putuk', 'rejo', 'kolam', 'renang', 'anak', 'kolam', 'renang', 'dewasa', 'sumber', 'wadon', 'kereta']",minggu oktober keluarga main sumber sira putuk rejo kolam renang anak kolam renang dewasa sumber wadon kereta,"Today, October Sunday, my family and I play Sour Sira Putuk Rejo, there is an adult swimming pool pool"
"Tempat nya sejuk , airnya bening dan jernih, htm terjangkau, makanan cukup terjangkau.",tempat nya sejuk airnya bening dan jernih htm terjangkau makanan cukup terjangkau,tempat sejuk airnya bening dan jernih harga tiket masuk terjangkau makanan cukup terjangkau,"['tempat', 'sejuk', 'airnya', 'bening', 'dan', 'jernih', 'harga', 'tiket', 'masuk', 'terjangkau', 'makanan', 'cukup', 'terjangkau']","['sejuk', 'airnya', 'bening', 'jernih', 'harga', 'tiket', 'masuk', 'terjangkau', 'makanan', 'terjangkau']",sejuk air bening jernih harga tiket masuk jangkau makan jangkau,The cool place is clear and clear the price of admission to affordable food is quite affordable food
Seger,seger,segar,['segar'],['segar'],segar,fresh
"Tempat sejuk, air bersih, enak buat berenang, bebas kaporit",tempat sejuk air bersih enak buat berenang bebas kaporit,tempat sejuk air bersih enak untuk berenang bebas kaporit,"['tempat', 'sejuk', 'air', 'bersih', 'enak', 'untuk', 'berenang', 'bebas', 'kaporit']","['sejuk', 'air', 'bersih', 'enak', 'berenang', 'bebas', 'kaporit']",sejuk air bersih enak renang bebas kaporit,a cool place for clean water to swim free chlorine
"ga terlalu ramee, enak bgt asrii bersih bening bgt airnya masyaallah 🔥 segeerr …",ga terlalu ramee enak bgt asrii bersih bening bgt airnya masyaallah segeerr,tidak terlalu ramee enak sangat asri bersih bening sangat airnya segar,"['tidak', 'terlalu', 'ramee', 'enak', 'sangat', 'asri', 'bersih', 'bening', 'sangat', 'airnya', 'segar']","['ramee', 'enak', 'asri', 'bersih', 'bening', 'airnya', 'segar']",ramee enak asri bersih bening air segar,"not too crowded, very beautiful, very beautiful, clean, very fresh water"
Sumber air alami sangat bening,sumber air alami sangat bening,sumber air alami sangat bening,"['sumber', 'air', 'alami', 'sangat', 'bening']","['sumber', 'air', 'alami', 'bening']",sumber air alami bening,very clear natural water source
"Bagus dan worth it untuk tempatnya, cuma agak shik shak shok waktu aku berenang di pojok yang ada tangga turunan itu tiba” ada ibu” penjual setempat yang buang air kecil di bagian tangga padahal ada aku sama orang” disitu, kek sengaja bgt, auto ga mood lagi buat renang :)",bagus dan worth it untuk tempatnya cuma agak shik shak shok waktu aku berenang di pojok yang ada tangga turunan itu tiba ada ibu penjual setempat yang buang air kecil di bagian tangga padahal ada aku sama orang disitu kek sengaja bgt auto ga mood lagi buat renang,bagus dan worth it untuk tempatnya cuma agak waktu aku berenang pojok yang ada tangga turunan itu tiba ada ibu penjual setempat yang buang air kecil bagian tangga padahal ada aku sama orang disitu kek sengaja sangat auto tidak mood lagi untuk renang,"['bagus', 'dan', 'worth', 'it', 'untuk', 'tempatnya', 'cuma', 'agak', 'waktu', 'aku', 'berenang', 'pojok', 'yang', 'ada', 'tangga', 'turunan', 'itu', 'tiba', 'ada', 'ibu', 'penjual', 'setempat', 'yang', 'buang', 'air', 'kecil', 'bagian', 'tangga', 'padahal', 'ada', 'aku', 'sama', 'orang', 'disitu', 'kek', 'sengaja', 'sangat', 'auto', 'tidak', 'mood', 'lagi', 'untuk', 'renang']","['bagus', 'worth', 'it', 'tempatnya', 'berenang', 'pojok', 'tangga', 'turunan', 'penjual', 'buang', 'air', 'tangga', 'orang', 'disitu', 'kek', 'sengaja', 'auto', 'mood', 'renang']",bagus worth it tempat renang pojok tangga turun jual buang air tangga orang situ kek sengaja auto mood renang,good and worth it for the place only a little time when I swim the corner with a derivative ladder arrived there was a local seller who urinated the stairs even though there were people with people there kek deliberately very auto not in the mood anymore for swimming
"Tiket masuk 5000/orang. Parkir motor 3000.
Selain sumbernya, sekarang lebih banyak wahananya. Ada ATV, perahu bebek, kereta sawah, odong-odong, dan kolam renang anak.",tiket masuk orang parkir motor selain sumbernya sekarang lebih banyak wahananya ada atv perahu bebek kereta sawah odongodong dan kolam renang anak,tiket masuk orang parkir motor selain sumbernya sekarang lebih banyak wahananya ada atv perahu bebek kereta sawah odong odong dan kolam renang anak,"['tiket', 'masuk', 'orang', 'parkir', 'motor', 'selain', 'sumbernya', 'sekarang', 'lebih', 'banyak', 'wahananya', 'ada', 'atv', 'perahu', 'bebek', 'kereta', 'sawah', 'odong', 'odong', 'dan', 'kolam', 'renang', 'anak']","['tiket', 'masuk', 'orang', 'parkir', 'motor', 'sumbernya', 'wahananya', 'atv', 'perahu', 'bebek', 'kereta', 'sawah', 'odong', 'odong', 'kolam', 'renang', 'anak']",tiket masuk orang parkir motor sumber wahana atv perahu bebek kereta sawah odong odong kolam renang anak,"Entrance ticket for people parking motorbikes besides the source is now more in line, there are ATV boats ducks on Odong Odong Sawah and Children's Swimming Pool"
Buruk,buruk,buruk,['buruk'],['buruk'],buruk,bad
"Lokasi mudah di jangkau, lokasi bersih, tersedia tiloilet dan ruang ganti, makanan masih murah di sana",lokasi mudah di jangkau lokasi bersih tersedia tiloilet dan ruang ganti makanan masih murah di sana,lokasi mudah jangkau lokasi bersih tersedia toilet dan ruang ganti makanan masih murah sana,"['lokasi', 'mudah', 'jangkau', 'lokasi', 'bersih', 'tersedia', 'toilet', 'dan', 'ruang', 'ganti', 'makanan', 'masih', 'murah', 'sana']","['lokasi', 'mudah', 'jangkau', 'lokasi', 'bersih', 'tersedia', 'toilet', 'ruang', 'ganti', 'makanan', 'murah']",lokasi mudah jangkau lokasi bersih sedia toilet ruang ganti makan murah,Easy location to reach a clean location available toilets and food changing rooms are still cheap there
"Cocok banget buat liburan keluarga, airnya juga langsung dari sumber. Seger banget pokoknya, ada banyak yg jualan, ada wahananya juga super murah bahkan tiketnya juga terjangkau.",cocok banget buat liburan keluarga airnya juga langsung dari sumber seger banget pokoknya ada banyak yg jualan ada wahananya juga super murah bahkan tiketnya juga terjangkau,cocok sangat untuk liburan keluarga airnya juga langsung dari sumber segar sangat pokoknya ada banyak yang jualan ada wahananya juga super murah bahkan tiketnya juga terjangkau,"['cocok', 'sangat', 'untuk', 'liburan', 'keluarga', 'airnya', 'juga', 'langsung', 'dari', 'sumber', 'segar', 'sangat', 'pokoknya', 'ada', 'banyak', 'yang', 'jualan', 'ada', 'wahananya', 'juga', 'super', 'murah', 'bahkan', 'tiketnya', 'juga', 'terjangkau']","['cocok', 'liburan', 'keluarga', 'airnya', 'langsung', 'sumber', 'segar', 'pokoknya', 'jualan', 'wahananya', 'super', 'murah', 'tiketnya', 'terjangkau']",cocok libur keluarga air langsung sumber segar pokok jual wahana super murah tiket jangkau,"Very suitable for the Water Family Vacation is also directly from the fresh source, there are many who sell there, there are super cheap, even the tickets are also affordable"
"Disarankan kesananya pagian, sekitar jam 7an. Air nya masih sangat jernih dan belum terlalu ramai.
Karena wahana nya semakin banyak dan memang wisata yg harganya masih terjangkau. Terimakasih",disarankan kesananya pagian sekitar jam an air nya masih sangat jernih dan belum terlalu ramai karena wahana nya semakin banyak dan memang wisata yg harganya masih terjangkau terimakasih,disarankan kesananya pagian sekitar jam air masih sangat jernih dan belum terlalu ramai karena wahana semakin banyak dan memang wisata yang harganya masih terjangkau terimakasih,"['disarankan', 'kesananya', 'pagian', 'sekitar', 'jam', 'air', 'masih', 'sangat', 'jernih', 'dan', 'belum', 'terlalu', 'ramai', 'karena', 'wahana', 'semakin', 'banyak', 'dan', 'memang', 'wisata', 'yang', 'harganya', 'masih', 'terjangkau', 'terimakasih']","['disarankan', 'kesananya', 'pagian', 'jam', 'air', 'jernih', 'ramai', 'wahana', 'wisata', 'harganya', 'terjangkau', 'terimakasih']",saran kesana pagi jam air jernih ramai wahana wisata harga jangkau terimakasih,It is recommended that the impression around the water hour is still very clear and not too crowded because there are more and more rides and indeed the price is still affordable. Thank you
Air jernih seger htm murah .makanan murah. Sejuk suasana asri,air jernih seger htm murah makanan murah sejuk suasana asri,air jernih segar harga tiket masuk murah makanan murah sejuk suasana asri,"['air', 'jernih', 'segar', 'harga', 'tiket', 'masuk', 'murah', 'makanan', 'murah', 'sejuk', 'suasana', 'asri']","['air', 'jernih', 'segar', 'harga', 'tiket', 'masuk', 'murah', 'makanan', 'murah', 'sejuk', 'suasana', 'asri']",air jernih segar harga tiket masuk murah makan murah sejuk suasana asri,"Fresh Fresh Water The price of cheap admission is cheap, cheap, a beautiful atmosphere"
Seru,seru,seru,['seru'],['seru'],seru,exciting
Tempat yg indah,tempat yg indah,tempat yang indah,"['tempat', 'yang', 'indah']",['indah'],indah,a beautiful place
Untuk yg bawa mobil harus siap jalan kaki jauh,untuk yg bawa mobil harus siap jalan kaki jauh,untuk yang bawa mobil harus siap jalan kaki jauh,"['untuk', 'yang', 'bawa', 'mobil', 'harus', 'siap', 'jalan', 'kaki', 'jauh']","['bawa', 'mobil', 'jalan', 'kaki']",bawa mobil jalan kaki,for those who bring the car must be ready to walk far
"For experience it's okey. Last visit waktu weekend, jadi memang ramai. Kemungkinan kalo weekday gak terlalu desak2an.",for experience its okey last visit waktu weekend jadi memang ramai kemungkinan kalo weekday gak terlalu desakan,for experience its okey last visit waktu weekend jadi memang ramai kemungkinan kalau weekday tidak terlalu desakan,"['for', 'experience', 'its', 'okey', 'last', 'visit', 'waktu', 'weekend', 'jadi', 'memang', 'ramai', 'kemungkinan', 'kalau', 'weekday', 'tidak', 'terlalu', 'desakan']","['for', 'experience', 'its', 'okey', 'last', 'visit', 'weekend', 'ramai', 'weekday', 'desakan']",for experience its okey last visit weekend ramai weekday desa,For experience its okay last visited weekend so there are many possibilities that weekdays are not too urgent
"+ htm murah pol. Cuma 5rb/orang.
+ airnya bersih dan segar
+ harga makanan di warungnya masih reasonable. …",htm murah pol cuma rborang airnya bersih dan segar harga makanan di warungnya masih reasonable,harga tiket masuk murah sangat cuma ribu orang airnya bersih dan segar harga makanan warungnya masih reasonable,"['harga', 'tiket', 'masuk', 'murah', 'sangat', 'cuma', 'ribu', 'orang', 'airnya', 'bersih', 'dan', 'segar', 'harga', 'makanan', 'warungnya', 'masih', 'reasonable']","['harga', 'tiket', 'masuk', 'murah', 'ribu', 'orang', 'airnya', 'bersih', 'segar', 'harga', 'makanan', 'warungnya', 'reasonable']",harga tiket masuk murah ribu orang air bersih segar harga makan warung reasonable,The price of cheap admission is very only thousands of people clean and fresh water prices are still reasonable
yaaa not bad lah,yaaa not bad lah,not bad,"['not', 'bad']","['not', 'bad']",not bad,not bad
2 perbedaan foto pas rame sama pas sepi. Pas rame butek pas sepi jernih banget kayak akuarium” gitu. Minus pas datang ke tempat sumber langsung kecium bau tretes 😓 & sampahnya ya ampun tolong deh pihak pengelola sama pengunjung di kasih …,perbedaan foto pas rame sama pas sepi pas rame butek pas sepi jernih banget kayak akuarium gitu minus pas datang ke tempat sumber langsung kecium bau tretes sampahnya ya ampun tolong deh pihak pengelola sama pengunjung di kasih,perbedaan foto saat ramai sama saat sepi saat ramai keruh saat sepi jernih sangat seperti akuarium begitu minus saat datang tempat sumber langsung kecium bau tretes sampahnya ampun tolong pihak pengelola sama pengunjung kasih,"['perbedaan', 'foto', 'saat', 'ramai', 'sama', 'saat', 'sepi', 'saat', 'ramai', 'keruh', 'saat', 'sepi', 'jernih', 'sangat', 'seperti', 'akuarium', 'begitu', 'minus', 'saat', 'datang', 'tempat', 'sumber', 'langsung', 'kecium', 'bau', 'tretes', 'sampahnya', 'ampun', 'tolong', 'pihak', 'pengelola', 'sama', 'pengunjung', 'kasih']","['perbedaan', 'foto', 'ramai', 'sepi', 'ramai', 'keruh', 'sepi', 'jernih', 'akuarium', 'minus', 'sumber', 'langsung', 'kecium', 'bau', 'tretes', 'sampahnya', 'ampun', 'tolong', 'pengelola', 'pengunjung', 'kasih']",beda foto ramai sepi ramai keruh sepi jernih akuarium minus sumber langsung cium bau tretes sampah ampun tolong kelola unjung kasih,The difference between the photo when it is crowded when it's quiet when it is crowded when it's quiet is very clear like the aquarium so minus when the source comes immediately smells the smell of the trash forgive
